-26,0,58
-26,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,59
-26,0,59
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,59
-26,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-27,0,58
-26,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,59
-26,0,59
-26,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-25,0,59
-26,0,58
-25,1,59
-25,1,59
-25,1,59
-24,1,59
-24,1,59
-25,1,59
-25,1,59
-25,1,59
-26,0,58
-26,0,58
-26,1,59
-26,1,59
-26,0,58
-27,0,58
-26,1,59
-25,0,59
-26,0,59
-26,0,58
-26,1,58
-26,0,58
-26,1,58
-26,1,59
-26,1,58
-26,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,59
-25,0,59
-26,0,58
-26,0,58
-26,0,58
-25,0,59
-26,0,59
-26,0,59
-25,0,59
-25,0,58
-26,0,59
-26,0,58
-25,0,59
-26,1,59
-25,0,59
-26,0,58
-26,0,59
-26,1,58
-26,1,59
-25,0,59
-26,0,59
-25,1,59
-25,1,59
-25,0,59
-25,0,59
-25,0,59
-25,1,59
-26,1,59
-26,0,59
-25,0,59
-26,0,59
-26,0,58
-26,0,59
-25,1,58
-25,1,59
-26,0,59
-26,0,59
-26,0,59
-26,0,59
-26,1,59
-25,0,59
-26,0,59
-25,0,59
-25,1,59
-25,1,59
-25,0,59
-26,0,59
-25,0,59
-25,1,58
-26,0,59
-26,0,58
-26,1,58
-25,0,59
-26,0,59
-26,0,59
-26,0,59
-25,0,59
-26,0,59
-26,0,58
-25,0,58
-26,0,59
-26,0,59
-26,0,59
-26,0,59
-25,0,59
-26,1,59
-25,0,59
-25,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,59
-26,0,59
-26,0,59
-26,0,58
-26,0,58
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-26,0,59
-26,0,59
-26,0,58
-25,0,59
-25,0,59
-24,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-26,0,59
-25,0,59
-25,0,59
-25,0,59
-24,0,59
-25,0,59
-23,0,59
-24,0,59
-24,0,59
-24,0,59
-24,0,59
-25,0,59
-24,0,59
-25,0,59
-25,0,59
-24,0,59
-24,0,60
-24,0,59
-24,0,59
-24,0,59
-24,0,59
-24,0,59
-24,0,59
-24,0,59
-24,0,60
-24,0,59
-24,0,59
-25,0,59
-24,-1,60
-24,0,59
-24,0,59
-24,0,59
-24,-1,59
-24,0,59
-24,0,59
-24,0,59
-24,0,59
-25,0,59
-25,0,59
-24,0,59
-24,0,59
-24,0,59
-25,0,59
-24,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-24,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-24,0,58
-26,0,59
-24,0,58
-25,0,59
-25,0,59
-25,0,59
-25,0,59
-26,0,58
-26,0,59
-25,0,59
-25,0,59
-26,0,59
-26,0,59
-26,0,59
-25,0,59
-26,0,58
-26,0,58
-26,0,59
-26,0,58
-26,0,58
-26,0,59
-26,0,59
-26,0,59
-26,0,59
-26,0,58
-26,0,58
-26,0,59
-26,0,58
-26,0,59
-26,0,58
-26,0,58
-26,0,58
